dataset,setting,case_study,n,auc_mean,boot_ci_low,boot_ci_high,ci_width
breastmnist,centralized,C1_classical,3,0.8266,0.8164,0.8346,0.0182
breastmnist,centralized,C2_compressed,3,0.8135,0.806,0.8214,0.0155
breastmnist,centralized,C3_hybrid_quantum,3,0.7927,0.7838,0.801,0.0171
breastmnist,fl_dirichlet_alpha=0.1,C1_classical,3,0.5883,0.5018,0.7376,0.2358
breastmnist,fl_dirichlet_alpha=0.1,C2_compressed,3,0.5944,0.4976,0.7801,0.2825
breastmnist,fl_dirichlet_alpha=0.1,C3_hybrid_quantum,3,0.5952,0.5,0.7811,0.2811
breastmnist,fl_dirichlet_alpha=0.5,C1_classical,5,0.7056,0.6207,0.7858,0.1651
breastmnist,fl_dirichlet_alpha=0.5,C2_compressed,5,0.7143,0.6371,0.7784,0.1413
breastmnist,fl_dirichlet_alpha=0.5,C3_hybrid_quantum,5,0.7627,0.7112,0.8108,0.0997
breastmnist,fl_iid,C1_classical,3,0.7558,0.7406,0.7713,0.0307
breastmnist,fl_iid,C2_compressed,3,0.7662,0.7496,0.7751,0.0255
breastmnist,fl_iid,C3_hybrid_quantum,3,0.732,0.684,0.778,0.094
dermamnist,centralized,C1_classical,3,0.8975,0.8878,0.9064,0.0186
dermamnist,centralized,C2_compressed,3,0.8172,0.809,0.829,0.02
dermamnist,centralized,C3_hybrid_quantum,3,0.8174,0.8138,0.8208,0.0069
dermamnist,fl_dirichlet_alpha=0.1,C1_classical,3,0.7808,0.7456,0.8253,0.0797
dermamnist,fl_dirichlet_alpha=0.1,C2_compressed,3,0.6985,0.6414,0.7361,0.0947
dermamnist,fl_dirichlet_alpha=0.1,C3_hybrid_quantum,3,0.6549,0.5088,0.7359,0.2271
dermamnist,fl_dirichlet_alpha=0.5,C1_classical,3,0.8142,0.8003,0.8296,0.0293
dermamnist,fl_dirichlet_alpha=0.5,C2_compressed,3,0.7534,0.7271,0.7797,0.0526
dermamnist,fl_dirichlet_alpha=0.5,C3_hybrid_quantum,3,0.6912,0.5071,0.789,0.282
dermamnist,fl_iid,C1_classical,3,0.8462,0.8344,0.8529,0.0185
dermamnist,fl_iid,C2_compressed,3,0.7612,0.7517,0.779,0.0273
dermamnist,fl_iid,C3_hybrid_quantum,3,0.5951,0.4988,0.7792,0.2804
pneumoniamnist,centralized,C1_classical,3,0.9317,0.9246,0.9367,0.0121
pneumoniamnist,centralized,C2_compressed,3,0.9177,0.9171,0.9189,0.0018
pneumoniamnist,centralized,C3_hybrid_quantum,3,0.9317,0.9277,0.9342,0.0065
pneumoniamnist,fl_dirichlet_alpha=0.1,C1_classical,3,0.4755,0.4396,0.4987,0.0591
pneumoniamnist,fl_dirichlet_alpha=0.1,C2_compressed,3,0.6005,0.5022,0.7952,0.293
pneumoniamnist,fl_dirichlet_alpha=0.1,C3_hybrid_quantum,3,0.6077,0.5021,0.683,0.1809
pneumoniamnist,fl_dirichlet_alpha=0.5,C1_classical,3,0.9117,0.9089,0.9133,0.0044
pneumoniamnist,fl_dirichlet_alpha=0.5,C2_compressed,3,0.9113,0.9098,0.9126,0.0028
pneumoniamnist,fl_dirichlet_alpha=0.5,C3_hybrid_quantum,3,0.9129,0.882,0.9289,0.0469
pneumoniamnist,fl_iid,C1_classical,3,0.9165,0.9151,0.9172,0.0021
pneumoniamnist,fl_iid,C2_compressed,3,0.916,0.9143,0.9183,0.004
pneumoniamnist,fl_iid,C3_hybrid_quantum,3,0.9238,0.9198,0.9284,0.0086
