dataset,setting,case_study,AUC,F1,Acc,P,C_total_MB,Q,n_seeds
breastmnist,centralized,C1_classical,0.827 ± 0.009,0.732 ± 0.005,0.786 ± 0.010,26434,0.211,0,3
breastmnist,centralized,C2_compressed,0.813 ± 0.008,0.721 ± 0.044,0.763 ± 0.059,12714,0.102,0,3
breastmnist,centralized,C3_hybrid_quantum,0.793 ± 0.009,0.685 ± 0.030,0.763 ± 0.039,3530,0.028,305760000,3
breastmnist,fl_dirichlet_alpha=0.1,C1_classical,0.588 ± 0.130,0.477 ± 0.095,0.739 ± 0.015,26434,26.434,0,3
breastmnist,fl_dirichlet_alpha=0.1,C2_compressed,0.594 ± 0.161,0.466 ± 0.075,0.741 ± 0.019,12714,12.714,0,3
breastmnist,fl_dirichlet_alpha=0.1,C3_hybrid_quantum,0.595 ± 0.161,0.430 ± 0.014,0.733 ± 0.004,3530,2.118,458640000,3
breastmnist,fl_dirichlet_alpha=0.5,C1_classical,0.706 ± 0.107,0.560 ± 0.136,0.729 ± 0.068,26434,26.434,0,5
breastmnist,fl_dirichlet_alpha=0.5,C2_compressed,0.714 ± 0.096,0.592 ± 0.146,0.762 ± 0.032,12714,12.714,0,5
breastmnist,fl_dirichlet_alpha=0.5,C3_hybrid_quantum,0.763 ± 0.065,0.581 ± 0.147,0.750 ± 0.024,3530,2.118,458640000,5
breastmnist,fl_iid,C1_classical,0.756 ± 0.015,0.678 ± 0.033,0.724 ± 0.034,26434,26.434,0,3
breastmnist,fl_iid,C2_compressed,0.766 ± 0.014,0.709 ± 0.014,0.763 ± 0.013,12714,12.714,0,3
breastmnist,fl_iid,C3_hybrid_quantum,0.732 ± 0.047,0.631 ± 0.039,0.694 ± 0.023,3530,2.118,458640000,3
dermamnist,centralized,C1_classical,0.897 ± 0.009,0.461 ± 0.008,0.694 ± 0.036,26743,0.214,0,3
dermamnist,centralized,C2_compressed,0.817 ± 0.010,0.241 ± 0.016,0.648 ± 0.011,37847,0.303,0,3
dermamnist,centralized,C3_hybrid_quantum,0.817 ± 0.003,0.232 ± 0.007,0.643 ± 0.015,3647,0.029,3139136000,3
dermamnist,fl_dirichlet_alpha=0.1,C1_classical,0.781 ± 0.041,0.165 ± 0.039,0.655 ± 0.024,26743,26.743,0,3
dermamnist,fl_dirichlet_alpha=0.1,C2_compressed,0.699 ± 0.050,0.140 ± 0.022,0.625 ± 0.067,37847,37.847,0,3
dermamnist,fl_dirichlet_alpha=0.1,C3_hybrid_quantum,0.655 ± 0.127,0.134 ± 0.035,0.666 ± 0.005,3647,1.751,4708704000,3
dermamnist,fl_dirichlet_alpha=0.5,C1_classical,0.814 ± 0.015,0.166 ± 0.034,0.648 ± 0.020,26743,26.743,0,3
dermamnist,fl_dirichlet_alpha=0.5,C2_compressed,0.753 ± 0.026,0.151 ± 0.029,0.657 ± 0.015,37847,37.847,0,3
dermamnist,fl_dirichlet_alpha=0.5,C3_hybrid_quantum,0.691 ± 0.160,0.153 ± 0.033,0.621 ± 0.043,3647,1.751,4708704000,3
dermamnist,fl_iid,C1_classical,0.846 ± 0.010,0.262 ± 0.012,0.664 ± 0.003,26743,26.743,0,3
dermamnist,fl_iid,C2_compressed,0.761 ± 0.015,0.178 ± 0.016,0.628 ± 0.009,37847,37.847,0,3
dermamnist,fl_iid,C3_hybrid_quantum,0.595 ± 0.159,0.134 ± 0.033,0.660 ± 0.015,3647,1.751,4708704000,3
pneumoniamnist,fl_dirichlet_alpha=0.1,C1_classical,0.475 ± 0.031,0.385 ± 0.000,0.625 ± 0.000,26434,26.434,0,3
pneumoniamnist,fl_dirichlet_alpha=0.1,C2_compressed,0.600 ± 0.169,0.385 ± 0.000,0.625 ± 0.000,12714,12.714,0,3
pneumoniamnist,fl_dirichlet_alpha=0.1,C3_hybrid_quantum,0.608 ± 0.094,0.385 ± 0.000,0.625 ± 0.000,3530,1.694,3163776000,3
pneumoniamnist,fl_dirichlet_alpha=0.5,C1_classical,0.912 ± 0.002,0.827 ± 0.013,0.846 ± 0.011,26434,26.434,0,3
pneumoniamnist,fl_dirichlet_alpha=0.5,C2_compressed,0.911 ± 0.001,0.800 ± 0.030,0.827 ± 0.019,12714,12.714,0,3
pneumoniamnist,fl_dirichlet_alpha=0.5,C3_hybrid_quantum,0.913 ± 0.027,0.797 ± 0.050,0.828 ± 0.033,3530,1.694,3163776000,3
pneumoniamnist,fl_iid,C1_classical,0.916 ± 0.001,0.844 ± 0.007,0.860 ± 0.006,26434,26.434,0,3
pneumoniamnist,fl_iid,C2_compressed,0.916 ± 0.002,0.851 ± 0.004,0.863 ± 0.003,12714,12.714,0,3
pneumoniamnist,fl_iid,C3_hybrid_quantum,0.924 ± 0.004,0.834 ± 0.008,0.853 ± 0.006,3530,1.694,3163776000,3
