dataset,setting,comparison,mean_a,mean_b,diff,cohens_d,n
breastmnist,centralized,C1_classical vs C2_compressed,0.8266,0.8135,0.0132,1.538,3
breastmnist,centralized,C1_classical vs C3_hybrid_quantum,0.8266,0.7927,0.0339,3.788,3
breastmnist,centralized,C2_compressed vs C3_hybrid_quantum,0.8135,0.7927,0.0207,2.539,3
breastmnist,fl_dirichlet_alpha=0.1,C1_classical vs C2_compressed,0.5883,0.5944,-0.0062,-0.042,3
breastmnist,fl_dirichlet_alpha=0.1,C1_classical vs C3_hybrid_quantum,0.5883,0.5952,-0.0069,-0.047,3
breastmnist,fl_dirichlet_alpha=0.1,C2_compressed vs C3_hybrid_quantum,0.5944,0.5952,-0.0007,-0.005,3
breastmnist,fl_dirichlet_alpha=0.5,C1_classical vs C2_compressed,0.7056,0.7143,-0.0088,-0.086,5
breastmnist,fl_dirichlet_alpha=0.5,C1_classical vs C3_hybrid_quantum,0.7056,0.7627,-0.0572,-0.647,5
breastmnist,fl_dirichlet_alpha=0.5,C2_compressed vs C3_hybrid_quantum,0.7143,0.7627,-0.0484,-0.592,5
breastmnist,fl_iid,C1_classical vs C2_compressed,0.7558,0.7662,-0.0103,-0.693,3
breastmnist,fl_iid,C1_classical vs C3_hybrid_quantum,0.7558,0.732,0.0238,0.681,3
breastmnist,fl_iid,C2_compressed vs C3_hybrid_quantum,0.7662,0.732,0.0341,0.981,3
dermamnist,centralized,C1_classical vs C2_compressed,0.8975,0.8172,0.0803,8.086,3
dermamnist,centralized,C1_classical vs C3_hybrid_quantum,0.8975,0.8174,0.0801,11.387,3
dermamnist,centralized,C2_compressed vs C3_hybrid_quantum,0.8172,0.8174,-0.0002,-0.021,3
dermamnist,fl_dirichlet_alpha=0.1,C1_classical vs C2_compressed,0.7808,0.6985,0.0823,1.799,3
dermamnist,fl_dirichlet_alpha=0.1,C1_classical vs C3_hybrid_quantum,0.7808,0.6549,0.1259,1.338,3
dermamnist,fl_dirichlet_alpha=0.1,C2_compressed vs C3_hybrid_quantum,0.6985,0.6549,0.0437,0.453,3
dermamnist,fl_dirichlet_alpha=0.5,C1_classical vs C2_compressed,0.8142,0.7534,0.0608,2.857,3
dermamnist,fl_dirichlet_alpha=0.5,C1_classical vs C3_hybrid_quantum,0.8142,0.6912,0.123,1.085,3
dermamnist,fl_dirichlet_alpha=0.5,C2_compressed vs C3_hybrid_quantum,0.7534,0.6912,0.0622,0.544,3
dermamnist,fl_iid,C1_classical vs C2_compressed,0.8462,0.7612,0.085,6.497,3
dermamnist,fl_iid,C1_classical vs C3_hybrid_quantum,0.8462,0.5951,0.2511,2.222,3
dermamnist,fl_iid,C2_compressed vs C3_hybrid_quantum,0.7612,0.5951,0.1661,1.466,3
pneumoniamnist,fl_dirichlet_alpha=0.1,C1_classical vs C2_compressed,0.4755,0.6005,-0.125,-1.03,3
pneumoniamnist,fl_dirichlet_alpha=0.1,C1_classical vs C3_hybrid_quantum,0.4755,0.6077,-0.1322,-1.884,3
pneumoniamnist,fl_dirichlet_alpha=0.1,C2_compressed vs C3_hybrid_quantum,0.6005,0.6077,-0.0072,-0.053,3
pneumoniamnist,fl_dirichlet_alpha=0.5,C1_classical vs C2_compressed,0.9117,0.9113,0.0004,0.201,3
pneumoniamnist,fl_dirichlet_alpha=0.5,C1_classical vs C3_hybrid_quantum,0.9117,0.9129,-0.0012,-0.061,3
pneumoniamnist,fl_dirichlet_alpha=0.5,C2_compressed vs C3_hybrid_quantum,0.9113,0.9129,-0.0016,-0.082,3
pneumoniamnist,fl_iid,C1_classical vs C2_compressed,0.9165,0.916,0.0005,0.294,3
pneumoniamnist,fl_iid,C1_classical vs C3_hybrid_quantum,0.9165,0.9238,-0.0073,-2.311,3
pneumoniamnist,fl_iid,C2_compressed vs C3_hybrid_quantum,0.916,0.9238,-0.0078,-2.301,3
